;Lab_ID;year;vineyard;row_ID;unique_rowID;treatment;cover_type;variety;row_disturbance;plot_disturbance;green;dist_type;year.;SOM_perc;CN;N_perc;Cu_mg.kg;Cu_Cat;pH;total_C_perc;clay;sand;plant_cover;plant_spec;plant_simp;plant_shannon;biomass;basal_res;sir;cmic;h2o_perc;wloss_g_perc;wlossr_perc;k;latitude;longitude;elevation;age_trtm;Cu_fungapp;fung_app
101-15;101.15;2015;15;115;115_15;CC;green;Chasselas;1;1;green;green;2015;14.2054449;-0.465966778;0.313;87.42443478;2;7.07;2.718;6.798105333;56.51662;66.375;9.5;0.724359325;1.553261599;3.1134;7.228666667;42.08233333;1119.390667;20.36842105;63.47289003;34.72292149;0.019273249;46.295633;7.529339;576.4;21;2.4;2.4
105-15;105.15;2015;25;125;125_15;aa_BG;aa_bare;Chasselas;4;3;no;chem;2015;4.051498199;2.043121665;0.201;87.406;2;6.87;2.147;8.742435667;36.79045633;9.125;4.25;0.405063085;0.711384734;2.0158;2.769666667;13.189;350.8296667;18.14484127;69.20264464;36.46830037;0.0167674;46.25344;7.40468;595.9;32;1.2;2
108-15;108.15;2015;25;125;125_15;aa_BG;aa_bare;Chasselas;4;3;no;chem;2015;4.051498199;2.043121665;0.201;87.406;2;6.87;2.147;8.742435667;36.79045633;9.125;4.25;0.405063085;0.711384734;2.0158;2.769666667;13.189;350.8296667;18.14484127;69.20264464;36.46830037;0.0167674;46.25344;7.40468;595.9;32;1.2;2
109-15;109.15;2015;5;105;105_15;AC;altb;Pinot_noir;3;2;no;mech;2015;6.311646339;-1.846933607;0.327;12.09269565;1;7.19;2.48;11.608951;21.60675;23.375;5.25;0.726594715;1.493307895;2.0942;3.246333333;25.73566667;684.568;18.75324675;71.6499825;32.74970822;0.012608742;46.318513;7.61903;734.5;26;0.666666667;2
112-15;112.15;2015;5;105;105_15;AC;altb;Pinot_noir;3;2;no;mech;2015;6.311646339;-1.846933607;0.327;12.09269565;1;7.19;2.48;11.608951;21.60675;23.375;5.25;0.726594715;1.493307895;2.0942;3.246333333;25.73566667;684.568;18.75324675;71.6499825;32.74970822;0.012608742;46.318513;7.61903;734.5;26;0.666666667;2
117-15;117.15;2015;5;205;205_15;AC;altg;Pinot_noir;2;2;green;mech;2015;7.874285954;-1.313629579;0.343;12.22121739;1;7.12;2.747;11.608951;21.60675;53.625;7.25;0.500045481;1.075499573;8.6602;3.64;30.93266667;822.8153333;22.12052117;70.39607345;29.40521594;0.011167613;46.318513;7.61903;734.5;26;0.666666667;2
119-15;119.15;2015;5;205;205_15;AC;altg;Pinot_noir;2;2;green;mech;2015;7.874285954;-1.313629579;0.343;12.22121739;1;7.12;2.747;11.608951;21.60675;53.625;7.25;0.500045481;1.075499573;8.6602;3.64;30.93266667;822.8153333;22.12052117;70.39607345;29.40521594;0.011167613;46.318513;7.61903;734.5;26;0.666666667;2
132-15;132.15;2015;32;232;232_15;AC;altg;Chasselas;2;2;green;chem;2015;10.83490564;-0.2463402;0.198;305.3797391;4;6.67;1.754;2.921489889;67.95855611;24.375;8.25;0.777466819;1.660434566;3.4662;6.889666667;28.33066667;753.5856667;22.72516556;66.77828302;30.21700315;0.012405925;46.19415;7.23142;546.6;3;0.666666667;2.333333333
135-15;135.15;2015;31;131;131_15;aa_BG;aa_bare;Pinot_noir;4;3;no;chem;2015;7.3788;-0.54510731;0.261;87.33547826;2;5.65;2.25;5.094843667;15.29396667;4.875;4;0.438456633;0.629916413;3.3682;2.571666667;11.87366667;315.8453333;22.73051948;66.0631966;27.51128724;0.010794121;46.25281;7.46833;541.9;31;1.2;2.4
136-15;136.15;2015;31;131;131_15;aa_BG;aa_bare;Pinot_noir;4;3;no;chem;2015;7.3788;-0.54510731;0.261;87.33547826;2;5.65;2.25;5.094843667;15.29396667;4.875;4;0.438456633;0.629916413;3.3682;2.571666667;11.87366667;315.8453333;22.73051948;66.0631966;27.51128724;0.010794121;46.25281;7.46833;541.9;31;1.2;2.4
