""	"Lab_ID"	"year"	"vineyard"	"row_ID"	"unique_rowID"	"treatment"	"cover_type"	"variety"	"row_disturbance"	"plot_disturbance"	"green"	"dist_type"	"year."	"SOM_perc"	"CN"	"N_perc"	"Cu_mg.kg"	"pH"	"total_C_perc"	"clay"	"sand"	"plant_cover"	"plant_spec"	"plant_simp"	"plant_shannon"	"biomass"	"basal_res"	"sir"	"cmic"	"h2o_perc"	"wloss_g_perc"	"wlossr_perc"	"k"	"latitude"	"longitude"	"elevation"	"age_trtm"	"Cu_fungapp"	"fung_app"
"101-1_16"	"101.1_16"	"2016"	1	101	"101_16"	"AC"	"altb"	"Pinot_noir"	3	2	"no"	"mech"	2016	4.888341176	-1.16831009246744	0.34	29.59	7.38	6.51	6.840605333	40.82425367	39.75	12	0.461993494	1.169488893	4.389033333	2.640964712	19.793745	526.5136169	19.36703112	55.8310872	36.60273592	NA	46.316455	7.626288	628	10	NA	2.8
"101-2_16"	"101.2_16"	"2016"	1	101	"101_16"	"AC"	"altb"	"Pinot_noir"	3	2	"no"	"mech"	2016	4.888341176	-1.16831009246744	0.34	29.59	7.38	6.51	6.840605333	40.82425367	39.75	12	0.461993494	1.169488893	4.389033333	2.640964712	19.793745	526.5136169	19.36703112	55.8310872	36.60273592	NA	46.316455	7.626288	628	10	NA	2.8
"102-1_16"	"102.1_16"	"2016"	2	102	"102_16"	"AC"	"altb"	"Pinot_noir"	3	2	"no"	"mech"	2016	10.68639304	0.782208794624912	0.43	16.18	7.21	10.38	7.203794333	35.07606222	43.75	8.5	0.44966416	0.979319639	3.817366667	3.208643087	20.02113732	532.5622528	20.27167604	54.25342063	33.60064087	NA	46.30668	7.60748	596.1	37	2.333333333	2.333333333
"102-2_16"	"102.2_16"	"2016"	2	102	"102_16"	"AC"	"altb"	"Pinot_noir"	3	2	"no"	"mech"	2016	10.68639304	0.782208794624912	0.43	16.18	7.21	10.38	7.203794333	35.07606222	43.75	8.5	0.44966416	0.979319639	3.817366667	3.208643087	20.02113732	532.5622528	20.27167604	54.25342063	33.60064087	NA	46.30668	7.60748	596.1	37	2.333333333	2.333333333
"103_16"	"103_16"	"2016"	3	103	"103_16"	"CC"	"green"	"Pinot_noir"	1	1	"green"	"green"	2016	6.77852413	-1.24300721021553	0.485	20.22	7.2	7.06	10.953908	28.93982867	80.5	4.5	0.591877743	1.102758989	4.1032	3.969632539	30.29810562	805.9296094	25.5979566	54.34776406	26.49552016	NA	46.320127	7.616986	726.4	26	1.333333333	2.333333333
"104_16"	"104_16"	"2016"	4	104	"104_16"	"aa_BG"	"aa_bare"	"Pinot_noir"	4	3	"no"	"chem"	2016	5.567751501	-1.51572472465942	0.445	27.68	7.19	4.31	13.11008233	21.59672633	1.5	3	0.028101208	0.090079804	0.297533333	2.833357023	17.39564962	462.7242799	27.35528259	54.87108369	20.80865351	NA	46.319192	7.618508	728.3	32	1.2	2.4
"105-1_16"	"105.1_16"	"2016"	5	105	"105_16"	"AC"	"altb"	"Pinot_noir"	3	2	"no"	"mech"	2016	6.311646339	-1.4469912756735	0.49	9.83	7.11	6.04	11.608951	21.60675	21.25	8	0.28286161	0.69201651	1.6042	2.509167998	23.57594082	627.1200258	26.0882026	51.76934483	NA	NA	46.318513	7.61903	734.5	26	0.666666667	2
"105-2_16"	"105.2_16"	"2016"	5	105	"105_16"	"AC"	"altb"	"Pinot_noir"	3	2	"no"	"mech"	2016	6.311646339	-1.4469912756735	0.49	9.83	7.11	6.04	11.608951	21.60675	21.25	8	0.28286161	0.69201651	1.6042	2.509167998	23.57594082	627.1200258	26.0882026	51.76934483	NA	NA	46.318513	7.61903	734.5	26	0.666666667	2
"106-1_16"	"106.1_16"	"2016"	6	106	"106_16"	"CC"	"green"	"Pinot_noir"	1	1	"green"	"green"	2016	5.642735654	-0.509862107711007	0.315	50.01	7.25	8.82	4.332216333	20.766096	49.5	11.5	0.507736677	1.220042657	1.5307	4.195922025	22.09568679	587.7452687	19.3931377	54.45157418	26.41002883	NA	46.294326	7.540146	563.4	12	NA	2.3
"106-2_16"	"106.2_16"	"2016"	6	106	"106_16"	"CC"	"green"	"Pinot_noir"	1	1	"green"	"green"	2016	5.642735654	-0.509862107711007	0.315	50.01	7.25	8.82	4.332216333	20.766096	49.5	11.5	0.507736677	1.220042657	1.5307	4.195922025	22.09568679	587.7452687	19.3931377	54.45157418	26.41002883	NA	46.294326	7.540146	563.4	12	NA	2.3
